Ensembl Gene ID	Gene ID	
ENSG00000180787	124961	
ENSG00000180878	160298	
ENSG00000180921	286077	
ENSG00000181027	79147	
ENSG00000181409	9625	
ENSG00000181433	55511	
ENSG00000181626	342850	
ENSG00000181754	57463	
ENSG00000181788	6478	
ENSG00000182134	11022	
ENSG00000182264	284359	
ENSG00000182287	8905	
ENSG00000182308	285429	
ENSG00000182415	9426	
ENSG00000182481	3838	
ENSG00000182583	26609	
ENSG00000182973	25904	
ENSG00000182979	9112	
ENSG00000183035	1538	
ENSG00000183066	164684	
ENSG00000183207	10856	
ENSG00000183246	150221	
ENSG00000183318	388333	
ENSG00000183476	646892	
ENSG00000183496	84206	
ENSG00000183751	10607	
ENSG00000183798	90187	
ENSG00000183960	131096	
ENSG00000183977	151649	
ENSG00000184033	1485	
ENSG00000184047	56616	
ENSG00000184361	124783	
ENSG00000184378	84517	
ENSG00000184470	10587	
ENSG00000184507	256646	
ENSG00000184599	284467	
ENSG00000184709	389816	
ENSG00000184979	11274	
ENSG00000185040	102723555	
ENSG00000185104	11124	
ENSG00000185158	114659	
ENSG00000185264	339669	
ENSG00000185344	23545	
ENSG00000185686	23532	
ENSG00000185722	51479	
ENSG00000185798	348793	
ENSG00000185863	100505993	
ENSG00000185880	140691	
ENSG00000185942	286183	
ENSG00000185955	402573	
ENSG00000185963	23299	
ENSG00000185988	126520	
ENSG00000186020	57711	
ENSG00000186075	124626	
ENSG00000186335	153201	
ENSG00000186470	11118	
ENSG00000186471	158798	
ENSG00000186625	11104	
ENSG00000186645	102723849	
ENSG00000187003	10881	
ENSG00000187186	730098	
ENSG00000187191	57054	
ENSG00000187391	9863	
ENSG00000187475	3010	
ENSG00000187624	400566	
ENSG00000187690	340602	
ENSG00000187754	280658	
ENSG00000187773	125704	
ENSG00000187796	64170	
ENSG00000187866	116224	
ENSG00000187867	342979	
ENSG00000187961	339451	
ENSG00000187969	389874	
ENSG00000188120	1617	
ENSG00000188163	401565	
ENSG00000188425	339345	
ENSG00000188523	389799	
ENSG00000188694	643803	
ENSG00000188782	378807	
ENSG00000188807	199953	
ENSG00000188959	401546	
ENSG00000189046	121642	
ENSG00000189064	645037; 100101629; 26749; 729408; 729447	
ENSG00000189139	84075	
ENSG00000189376	84933	
ENSG00000189401	139562	
ENSG00000196335	56164	
ENSG00000196372	79754	
ENSG00000196408	124056	
ENSG00000196428	9819	
ENSG00000196503	132946	
ENSG00000196628	6925	
ENSG00000196636	57001	
ENSG00000196659	150737	
ENSG00000196704	51321	
ENSG00000196911	3841	
ENSG00000197102	1778	
ENSG00000197140	203102	
ENSG00000197168	341676	
ENSG00000197555	26037	
ENSG00000197557	92104	
ENSG00000197653	196385	
ENSG00000197776	122773	
ENSG00000197822	100506658	
ENSG00000197826	255119	
